Customer_ID,Cryptoasset,Balance,ASOFDATE
0xA1,btc,1.0122938,2023-06-14
0XA2,eth,1.0122939,2023-06-14
0xA3,matic_eth,1.012294,2023-06-14
0xA4,trx_eth,1.0122941,2023-06-14
0xA5,usdc,1.0122942,2023-06-14
0xA6,ltc,1.0122943,2023-06-14
0xA7,xrp,1.0122944,2023-06-14
0xA8,btc,1.0122938,2023-06-14
0xA9,eth,1.0122939,2023-06-14
0xA10,matic_eth,1.012294,2023-06-14
0xA11,trx_eth,1.0122941,2023-06-14
0xA12,usdc,1.0122942,2023-06-14
0xA13,ltc,1.0122943,2023-06-14
0xA14,xrp,1.0122944,2023-06-14
0xA15,btc,1.0122938,2023-06-14
0xA16,eth,1.0122939,2023-06-14
0xA17,matic_eth,1.012294,2023-06-14
0xA18,trx_eth,1.0122941,2023-06-14
0xA19,usdc,1.0122942,2023-06-14
0xA20,ltc,1.0122943,2023-06-14
0xA21,xrp,1.0122944,2023-06-14
0xA22,btc,1.0122938,2023-06-14
0xA23,eth,1.0122939,2023-06-14
0xA24,matic_eth,1.012294,2023-06-14
0xA25,trx_eth,1.0122941,2023-06-14
0xA26,usdc,1.0122942,2023-06-14
0xA27,ltc,1.0122943,2023-06-14
0xA28,xrp,1.0122944,2023-06-14
0xA29,btc,1.0122938,2023-06-14
0xA30,eth,1.0122939,2023-06-14
0xA31,matic_eth,1.012294,2023-06-14
0xA32,trx_eth,1.0122941,2023-06-14
0xA33,usdc,1.0122942,2023-06-14
0xA34,ltc,1.0122943,2023-06-14
0xA35,xrp,1.0122944,2023-06-14
0xA36,btc,1.0122938,2023-06-14
0xA37,eth,1.0122939,2023-06-14
0xA38,matic_eth,1.012294,2023-06-14
0xA39,trx_eth,1.0122941,2023-06-14
0xA40,usdc,1.0122942,2023-06-14
0xA41,ltc,1.0122943,2023-06-14
0xA42,xrp,1.0122944,2023-06-14
0xA43,btc,1.0122938,2023-06-14
0xA44,eth,1.0122939,2023-06-14
0xA45,matic_eth,1.012294,2023-06-14
0xA46,trx_eth,1.0122941,2023-06-14
0xA47,usdc,1.0122942,2023-06-14
0xA48,ltc,1.0122943,2023-06-14
0xA49,xrp,1.0122944,2023-06-14
0xA50,btc,1.0122938,2023-06-14
0xA51,eth,1.0122939,2023-06-14
0xA52,matic_eth,1.012294,2023-06-14
0xA53,trx_eth,1.0122941,2023-06-14
0xA54,usdc,1.0122942,2023-06-14
0xA55,ltc,1.0122943,2023-06-14
0xA56,xrp,1.0122944,2023-06-14
0xA57,btc,1.0122938,2023-06-14
0xA58,eth,1.0122939,2023-06-14
0xA59,matic_eth,1.012294,2023-06-14
0xA60,trx_eth,1.0122941,2023-06-14
0xA61,usdc,1.0122942,2023-06-14
0xA62,ltc,1.0122943,2023-06-14
0xA63,xrp,1.0122944,2023-06-14
0xA64,btc,1.0122938,2023-06-14
0xA65,eth,1.0122939,2023-06-14
0xA66,matic_eth,1.012294,2023-06-14
0xA67,trx_eth,1.0122941,2023-06-14
0xA68,usdc,1.0122942,2023-06-14
0xA69,ltc,1.0122943,2023-06-14
0xA70,xrp,1.0122944,2023-06-14
0xA71,btc,1.0122938,2023-06-14
0xA72,eth,1.0122939,2023-06-14
0xA73,matic_eth,1.012294,2023-06-14
0xA74,trx_eth,1.0122941,2023-06-14
0xA75,usdc,1.0122942,2023-06-14
0xA76,ltc,1.0122943,2023-06-14
0xA77,xrp,1.0122944,2023-06-14
0xA78,btc,1.0122938,2023-06-14
0xA79,eth,1.0122939,2023-06-14
0xA80,matic_eth,1.012294,2023-06-14
0xA81,trx_eth,1.0122941,2023-06-14
0xA82,usdc,1.0122942,2023-06-14
0xA83,ltc,1.0122943,2023-06-14
0xA84,xrp,1.0122944,2023-06-14
0xA85,btc,1.0122938,2023-06-14
0xA86,eth,1.0122939,2023-06-14
0xA87,matic_eth,1.012294,2023-06-14
0xA88,trx_eth,1.0122941,2023-06-14
0xA89,usdc,1.0122942,2023-06-14
0xA90,ltc,1.0122943,2023-06-14
0xA91,xrp,1.0122944,2023-06-14
0xA92,btc,1.0122938,2023-06-14
0xA93,eth,1.0122939,2023-06-14
0xA94,matic_eth,1.012294,2023-06-14
0xA95,trx_eth,1.0122941,2023-06-14
0xA96,usdc,1.0122942,2023-06-14
0xA97,ltc,1.0122943,2023-06-14
0xA98,xrp,1.0122944,2023-06-14
0xA99,btc,1.0122938,2023-06-14
0xA100,eth,1.0122939,2023-06-14
0xA101,matic_eth,1.012294,2023-06-14
0xA102,trx_eth,1.0122941,2023-06-14
0xA103,usdc,1.0122942,2023-06-14
0xA104,ltc,1.0122943,2023-06-14
0xA105,xrp,1.0122944,2023-06-14
0xA106,btc,1.0122938,2023-06-14
0xA107,eth,1.0122939,2023-06-14
0xA108,matic_eth,1.012294,2023-06-14
0xA109,trx_eth,1.0122941,2023-06-14
0xA110,usdc,1.0122942,2023-06-14
0xA111,ltc,1.0122943,2023-06-14
0xA112,xrp,1.0122944,2023-06-14
0xA113,btc,1.0122938,2023-06-14
0xA114,eth,1.0122939,2023-06-14
0xA115,matic_eth,1.012294,2023-06-14
0xA116,trx_eth,1.0122941,2023-06-14
0xA117,usdc,1.0122942,2023-06-14
0xA118,ltc,1.0122943,2023-06-14
0xA119,xrp,1.0122944,2023-06-14
0xA120,btc,1.0122938,2023-06-14
0xA121,eth,1.0122939,2023-06-14
0xA122,matic_eth,1.012294,2023-06-14
0xA123,trx_eth,1.0122941,2023-06-14
0xA124,usdc,1.0122942,2023-06-14
0xA125,ltc,1.0122943,2023-06-14
0xA126,xrp,1.0122944,2023-06-14
0xA127,btc,1.0122938,2023-06-14
0xA128,eth,1.0122939,2023-06-14
0xA129,matic_eth,1.012294,2023-06-14
0xA130,trx_eth,1.0122941,2023-06-14
0xA131,usdc,1.0122942,2023-06-14
0xA132,ltc,1.0122943,2023-06-14
0xA133,xrp,1.0122944,2023-06-14
0xA134,btc,1.0122938,2023-06-14
0xA135,eth,1.0122939,2023-06-14
0xA136,matic_eth,1.012294,2023-06-14
0xA137,trx_eth,1.0122941,2023-06-14
0xA138,usdc,1.0122942,2023-06-14
0xA139,ltc,1.0122943,2023-06-14
0xA140,xrp,1.0122944,2023-06-14
0xA141,btc,1.0122938,2023-06-14
0xA142,eth,1.0122939,2023-06-14
0xA143,matic_eth,1.012294,2023-06-14
0xA144,trx_eth,1.0122941,2023-06-14
0xA145,usdc,1.0122942,2023-06-14
0xA146,ltc,1.0122943,2023-06-14
0xA147,xrp,1.0122944,2023-06-14
0xA148,btc,1.0122938,2023-06-14
0xA149,eth,1.0122939,2023-06-14
0xA150,matic_eth,1.012294,2023-06-14
0xA151,trx_eth,1.0122941,2023-06-14
0xA152,usdc,1.0122942,2023-06-14
0xA153,ltc,1.0122943,2023-06-14
0xA154,xrp,1.0122944,2023-06-14
0xA155,btc,1.0122938,2023-06-14
0xA156,eth,1.0122939,2023-06-14
0xA157,matic_eth,1.012294,2023-06-14
0xA158,trx_eth,1.0122941,2023-06-14
0xA159,usdc,1.0122942,2023-06-14
0xA160,ltc,1.0122943,2023-06-14
0xA161,xrp,1.0122944,2023-06-14
0xA162,btc,1.0122938,2023-06-14
0xA163,eth,1.0122939,2023-06-14
0xA164,matic_eth,1.012294,2023-06-14
0xA165,trx_eth,1.0122941,2023-06-14
0xA166,usdc,1.0122942,2023-06-14
0xA167,ltc,1.0122943,2023-06-14
0xA168,xrp,1.0122944,2023-06-14
0xA169,btc,1.0122938,2023-06-14
0xA170,eth,1.0122939,2023-06-14
0xA171,matic_eth,1.012294,2023-06-14
0xA172,trx_eth,1.0122941,2023-06-14
0xA173,usdc,1.0122942,2023-06-14
0xA174,ltc,1.0122943,2023-06-14
0xA175,xrp,1.0122944,2023-06-14
0xA176,btc,1.0122938,2023-06-14
0xA177,eth,1.0122939,2023-06-14
0xA178,matic_eth,1.012294,2023-06-14
0xA179,trx_eth,1.0122941,2023-06-14
0xA180,usdc,1.0122942,2023-06-14
0xA181,ltc,1.0122943,2023-06-14
0xA182,xrp,1.0122944,2023-06-14
0xA183,btc,1.0122938,2023-06-14
0xA184,eth,1.0122939,2023-06-14
0xA185,matic_eth,1.012294,2023-06-14
0xA186,trx_eth,1.0122941,2023-06-14
0xA187,usdc,1.0122942,2023-06-14
0xA188,ltc,1.0122943,2023-06-14
0xA189,xrp,1.0122944,2023-06-14
0xA190,btc,1.0122938,2023-06-14
0xA191,eth,1.0122939,2023-06-14
0xA192,matic_eth,1.012294,2023-06-14
0xA193,trx_eth,1.0122941,2023-06-14
0xA194,usdc,1.0122942,2023-06-14
0xA195,ltc,1.0122943,2023-06-14
0xA196,xrp,1.0122944,2023-06-14
0xA197,btc,1.0122938,2023-06-14
0xA198,eth,1.0122939,2023-06-14
0xA199,matic_eth,1.012294,2023-06-14
0xA200,trx_eth,1.0122941,2023-06-14
0xA201,usdc,1.0122942,2023-06-14
0xA202,ltc,1.0122943,2023-06-14
0xA203,xrp,1.0122944,2023-06-14
0xA204,btc,1.0122938,2023-06-14
0xA205,eth,1.0122939,2023-06-14
0xA206,matic_eth,1.012294,2023-06-14
0xA207,trx_eth,1.0122941,2023-06-14
0xA208,usdc,1.0122942,2023-06-14
0xA209,ltc,1.0122943,2023-06-14
0xA210,xrp,1.0122944,2023-06-14
0xA211,btc,1.0122938,2023-06-14
0xA212,eth,1.0122939,2023-06-14
0xA213,matic_eth,1.012294,2023-06-14
0xA214,trx_eth,1.0122941,2023-06-14
0xA215,usdc,1.0122942,2023-06-14
0xA216,ltc,1.0122943,2023-06-14
0xA217,xrp,1.0122944,2023-06-14
0xA218,btc,1.0122938,2023-06-14
0xA219,eth,1.0122939,2023-06-14
0xA220,matic_eth,1.012294,2023-06-14
0xA221,trx_eth,1.0122941,2023-06-14
0xA222,usdc,1.0122942,2023-06-14
0xA223,ltc,1.0122943,2023-06-14
0xA224,xrp,1.0122944,2023-06-14
0xA225,btc,1.0122938,2023-06-14
0xA226,eth,1.0122939,2023-06-14
0xA227,matic_eth,1.012294,2023-06-14
0xA228,trx_eth,1.0122941,2023-06-14
0xA229,usdc,1.0122942,2023-06-14
0xA230,ltc,1.0122943,2023-06-14
0xA231,xrp,1.0122944,2023-06-14
0xA232,btc,1.0122938,2023-06-14
0xA233,eth,1.0122939,2023-06-14
0xA234,matic_eth,1.012294,2023-06-14
0xA235,trx_eth,1.0122941,2023-06-14
0xA236,usdc,1.0122942,2023-06-14
0xA237,ltc,1.0122943,2023-06-14
0xA238,xrp,1.0122944,2023-06-14
0xA239,btc,1.0122938,2023-06-14
0xA240,eth,1.0122939,2023-06-14
0xA241,matic_eth,1.012294,2023-06-14
0xA242,trx_eth,1.0122941,2023-06-14
0xA243,usdc,1.0122942,2023-06-14
0xA244,ltc,1.0122943,2023-06-14
0xA245,xrp,1.0122944,2023-06-14
0xA246,btc,1.0122938,2023-06-14
0xA247,eth,1.0122939,2023-06-14
0xA248,matic_eth,1.012294,2023-06-14
0xA249,trx_eth,1.0122941,2023-06-14
0xA250,usdc,1.0122942,2023-06-14
0xA251,ltc,1.0122943,2023-06-14
0xA252,xrp,1.0122944,2023-06-14
0xA253,btc,1.0122938,2023-06-14
0xA254,eth,1.0122939,2023-06-14
0xA255,matic_eth,1.012294,2023-06-14
0xA256,trx_eth,1.0122941,2023-06-14
0xA257,usdc,1.0122942,2023-06-14
0xA258,ltc,1.0122943,2023-06-14
0xA259,xrp,1.0122944,2023-06-14
0xA260,btc,1.0122938,2023-06-14
0xA261,eth,1.0122939,2023-06-14
0xA262,matic_eth,1.012294,2023-06-14
0xA263,trx_eth,1.0122941,2023-06-14
0xA264,usdc,1.0122942,2023-06-14
0xA265,ltc,1.0122943,2023-06-14
0xA266,xrp,1.0122944,2023-06-14
0xA267,btc,1.0122938,2023-06-14
0xA268,eth,1.0122939,2023-06-14
0xA269,matic_eth,1.012294,2023-06-14
0xA270,trx_eth,1.0122941,2023-06-14
0xA271,usdc,1.0122942,2023-06-14
0xA272,ltc,1.0122943,2023-06-14
0xA273,xrp,1.0122944,2023-06-14
0xA274,btc,1.0122938,2023-06-14
0xA275,eth,1.0122939,2023-06-14
0xA276,matic_eth,1.012294,2023-06-14
0xA277,trx_eth,1.0122941,2023-06-14
0xA278,usdc,1.0122942,2023-06-14
0xA279,ltc,1.0122943,2023-06-14
0xA280,xrp,1.0122944,2023-06-14
0xA281,btc,1.0122938,2023-06-14
0xA282,eth,1.0122939,2023-06-14
0xA283,matic_eth,1.012294,2023-06-14
0xA284,trx_eth,1.0122941,2023-06-14
0xA285,usdc,1.0122942,2023-06-14
0xA286,ltc,1.0122943,2023-06-14
0xA287,xrp,1.0122944,2023-06-14
0xA288,btc,1.0122938,2023-06-14
0xA289,eth,1.0122939,2023-06-14
0xA290,matic_eth,1.012294,2023-06-14
0xA291,trx_eth,1.0122941,2023-06-14
0xA292,usdc,1.0122942,2023-06-14
0xA293,ltc,1.0122943,2023-06-14
0xA294,xrp,1.0122944,2023-06-14
0xA295,btc,1.0122938,2023-06-14
0xA296,eth,1.0122939,2023-06-14
0xA297,matic_eth,1.012294,2023-06-14
0xA298,trx_eth,1.0122941,2023-06-14
0xA299,usdc,1.0122942,2023-06-14
0xA300,ltc,1.0122943,2023-06-14
0xA301,xrp,1.0122944,2023-06-14
0xA302,btc,1.0122938,2023-06-14
0xA303,eth,1.0122939,2023-06-14
0xA304,matic_eth,1.012294,2023-06-14
0xA305,trx_eth,1.0122941,2023-06-14
0xA306,usdc,1.0122942,2023-06-14
0xA307,ltc,1.0122943,2023-06-14
0xA308,xrp,1.0122944,2023-06-14
0xA309,btc,1.0122938,2023-06-14
0xA310,eth,1.0122939,2023-06-14
0xA311,matic_eth,1.012294,2023-06-14
0xA312,trx_eth,1.0122941,2023-06-14
0xA313,usdc,1.0122942,2023-06-14
0xA314,ltc,1.0122943,2023-06-14
0xA315,xrp,1.0122944,2023-06-14
0xA316,btc,1.0122938,2023-06-14
0xA317,eth,1.0122939,2023-06-14
0xA318,matic_eth,1.012294,2023-06-14
0xA319,trx_eth,1.0122941,2023-06-14
0xA320,usdc,1.0122942,2023-06-14
0xA321,ltc,1.0122943,2023-06-14
0xA322,xrp,1.0122944,2023-06-14
0xA323,btc,1.0122938,2023-06-14
0xA324,eth,1.0122939,2023-06-14
0xA325,matic_eth,1.012294,2023-06-14
0xA326,trx_eth,1.0122941,2023-06-14
0xA327,usdc,1.0122942,2023-06-14
0xA328,ltc,1.0122943,2023-06-14
0xA329,xrp,1.0122944,2023-06-14
0xA330,btc,1.0122938,2023-06-14
0xA331,eth,1.0122939,2023-06-14
0xA332,matic_eth,1.012294,2023-06-14
0xA333,trx_eth,1.0122941,2023-06-14
0xA334,usdc,1.0122942,2023-06-14
0xA335,ltc,1.0122943,2023-06-14
0xA336,xrp,1.0122944,2023-06-14
0xA337,btc,1.0122938,2023-06-14
0xA338,eth,1.0122939,2023-06-14
0xA339,matic_eth,1.012294,2023-06-14
0xA340,trx_eth,1.0122941,2023-06-14
0xA341,usdc,1.0122942,2023-06-14
0xA342,ltc,1.0122943,2023-06-14
0xA343,xrp,1.0122944,2023-06-14
0xA344,btc,1.0122938,2023-06-14
0xA345,eth,1.0122939,2023-06-14
0xA346,matic_eth,1.012294,2023-06-14
0xA347,trx_eth,1.0122941,2023-06-14
0xA348,usdc,1.0122942,2023-06-14
0xA349,ltc,1.0122943,2023-06-14
0xA350,xrp,1.0122944,2023-06-14
0xA351,btc,1.0122938,2023-06-14
0xA352,eth,1.0122939,2023-06-14
0xA353,matic_eth,1.012294,2023-06-14
0xA354,trx_eth,1.0122941,2023-06-14
0xA355,usdc,1.0122942,2023-06-14
0xA356,ltc,1.0122943,2023-06-14
0xA357,xrp,1.0122944,2023-06-14
0xA358,btc,1.0122938,2023-06-14
0xA359,eth,1.0122939,2023-06-14
0xA360,matic_eth,1.012294,2023-06-14
0xA361,trx_eth,1.0122941,2023-06-14
0xA362,usdc,1.0122942,2023-06-14
0xA363,ltc,1.0122943,2023-06-14
0xA364,xrp,1.0122944,2023-06-14
0xA365,btc,1.0122938,2023-06-14
0xA366,eth,1.0122939,2023-06-14
0xA367,matic_eth,1.012294,2023-06-14
0xA368,trx_eth,1.0122941,2023-06-14
0xA369,usdc,1.0122942,2023-06-14
0xA370,ltc,1.0122943,2023-06-14
0xA371,xrp,1.0122944,2023-06-14
0xA372,btc,1.0122938,2023-06-14
0xA373,eth,1.0122939,2023-06-14
0xA374,matic_eth,1.012294,2023-06-14
0xA375,trx_eth,1.0122941,2023-06-14
0xA376,usdc,1.0122942,2023-06-14
0xA377,ltc,1.0122943,2023-06-14
0xA378,xrp,1.0122944,2023-06-14
0xA379,btc,1.0122938,2023-06-14
0xA380,eth,1.0122939,2023-06-14
0xA381,matic_eth,1.012294,2023-06-14
0xA382,trx_eth,1.0122941,2023-06-14
0xA383,usdc,1.0122942,2023-06-14
0xA384,ltc,1.0122943,2023-06-14
0xA385,xrp,1.0122944,2023-06-14
0xA386,btc,1.0122938,2023-06-14
0xA387,eth,1.0122939,2023-06-14
0xA388,matic_eth,1.012294,2023-06-14
0xA389,trx_eth,1.0122941,2023-06-14
0xA390,usdc,1.0122942,2023-06-14
0xA391,ltc,1.0122943,2023-06-14
0xA392,xrp,1.0122944,2023-06-14
0xA393,btc,1.0122938,2023-06-14
0xA394,eth,1.0122939,2023-06-14
0xA395,matic_eth,1.012294,2023-06-14
0xA396,trx_eth,1.0122941,2023-06-14
0xA397,usdc,1.0122942,2023-06-14
0xA398,ltc,1.0122943,2023-06-14
0xA399,xrp,1.0122944,2023-06-14
0xA400,btc,1.0122938,2023-06-14
0xA401,eth,1.0122939,2023-06-14
0xA402,matic_eth,1.012294,2023-06-14
0xA403,trx_eth,1.0122941,2023-06-14
0xA404,usdc,1.0122942,2023-06-14
0xA405,ltc,1.0122943,2023-06-14
0xA406,xrp,1.0122944,2023-06-14
0xA407,btc,1.0122938,2023-06-14
0xA408,eth,1.0122939,2023-06-14
0xA409,matic_eth,1.012294,2023-06-14
0xA410,trx_eth,1.0122941,2023-06-14
0xA411,usdc,1.0122942,2023-06-14
0xA412,ltc,1.0122943,2023-06-14
0xA413,xrp,1.0122944,2023-06-14
0xA414,btc,1.0122938,2023-06-14
0xA415,eth,1.0122939,2023-06-14
0xA416,matic_eth,1.012294,2023-06-14
0xA417,trx_eth,1.0122941,2023-06-14
0xA418,usdc,1.0122942,2023-06-14
0xA419,ltc,1.0122943,2023-06-14
0xA420,xrp,1.0122944,2023-06-14
0xA421,btc,1.0122938,2023-06-14
0xA422,eth,1.0122939,2023-06-14
0xA423,matic_eth,1.012294,2023-06-14
0xA424,trx_eth,1.0122941,2023-06-14
0xA425,usdc,1.0122942,2023-06-14
0xA426,ltc,1.0122943,2023-06-14
0xA427,xrp,1.0122944,2023-06-14
0xA428,btc,1.0122938,2023-06-14
0xA429,eth,1.0122939,2023-06-14
0xA430,matic_eth,1.012294,2023-06-14
0xA431,trx_eth,1.0122941,2023-06-14
0xA432,usdc,1.0122942,2023-06-14
0xA433,ltc,1.0122943,2023-06-14
0xA434,xrp,1.0122944,2023-06-14
0xA435,btc,1.0122938,2023-06-14
0xA436,eth,1.0122939,2023-06-14
0xA437,matic_eth,1.012294,2023-06-14
0xA438,trx_eth,1.0122941,2023-06-14
0xA439,usdc,1.0122942,2023-06-14
0xA440,ltc,1.0122943,2023-06-14
0xA441,xrp,1.0122944,2023-06-14
0xA442,btc,1.0122938,2023-06-14
0xA443,eth,1.0122939,2023-06-14
0xA444,matic_eth,1.012294,2023-06-14
0xA445,trx_eth,1.0122941,2023-06-14
0xA446,usdc,1.0122942,2023-06-14
0xA447,ltc,1.0122943,2023-06-14
0xA448,xrp,1.0122944,2023-06-14
0xA449,btc,1.0122938,2023-06-14
0xA450,eth,1.0122939,2023-06-14
0xA451,matic_eth,1.012294,2023-06-14
0xA452,trx_eth,1.0122941,2023-06-14
0xA453,usdc,1.0122942,2023-06-14
0xA454,ltc,1.0122943,2023-06-14
0xA455,xrp,1.0122944,2023-06-14
0xA456,btc,1.0122938,2023-06-14
0xA457,eth,1.0122939,2023-06-14
0xA458,matic_eth,1.012294,2023-06-14
0xA459,trx_eth,1.0122941,2023-06-14
0xA460,usdc,1.0122942,2023-06-14
0xA461,ltc,1.0122943,2023-06-14
0xA462,xrp,1.0122944,2023-06-14
0xA463,btc,1.0122938,2023-06-14
0xA464,eth,1.0122939,2023-06-14
0xA465,matic_eth,1.012294,2023-06-14
0xA466,trx_eth,1.0122941,2023-06-14
0xA467,usdc,1.0122942,2023-06-14
0xA468,ltc,1.0122943,2023-06-14
0xA469,xrp,1.0122944,2023-06-14
0xA470,btc,1.0122938,2023-06-14
0xA471,eth,1.0122939,2023-06-14
0xA472,matic_eth,1.012294,2023-06-14
0xA473,trx_eth,1.0122941,2023-06-14
0xA474,usdc,1.0122942,2023-06-14
