CRYPTOASSET ,WALLETADDRESS ,BALANCE,ASOFDATE
btc,17dkc1eVBRsknbPZZpcvtWnJZiixJEaRdE,0.0034482,2023-06-14
btc,3JPPmct9E24EXe3Y1eUygfXEk3MdbhoAUo,0.00076593,2023-06-15
btc,bc1qszrett8vt7sc5vxsthquwx8gurc2j02e9x4dur,0.00883418,2023-06-16
btc,37UoZxkDWSEAAmVar4zfjc8WjDduDoDd7S,0.00141129,2023-06-17
btc,15p5rm12VpwzDS2m9FANoU7CSw6bpGdUFQ,0.00012335,2023-06-18
btc,bc1qtgt79ek6teqrsv55xdezssd0vmt7l75xq3uc0rpq9qrylxfps8ssxgfnyd,0.00382973,2023-06-19
btc,3GA7hgCbtt9DERuKSHrc2EUPrp7D4HMBMd,0.00084998,2023-06-20
btc,33SFiaYpY9Nu7qLh1nTyqh49uvG2HGJHUr,0.00084986,2023-06-21
btc,1L6nddYBqm9YH3ZjU88YhZ2ts23Z7bByEs,0.00118687,2023-06-22
btc,1GsmTpFX4VSwstCSuy2HJHpczrVdY9Mmun,0.00078512,2023-06-23
btc,bc1qmsucpmfhtrq3p0twaz4rdywjt9uvplj52u4crr,0.00382986,2023-06-24
btc,16aHvyvC4HNH5nQpHo1wSBxXhp33aU95Wu,0.00040067,2023-06-25
btc,bc1qx0pplcuef5e0tksw04t6k4apkv3dhtxfedmmra,1.74538606,2023-06-26
btc,bc1q9ttcppyvw6lm4576hfkqvlvy0000g9fa3lneq4,0.02481778,2023-06-27
btc,bc1q23qnw6rtx28vz3prs809qwdd94dvymn9hp3gpy,0.00001379,2023-06-28
btc,bc1qsr4s8h4r4m8j9858h9y4n0ll5envpn9mrh2aye,0.03711535,2023-06-29
eth,fa677f50cc49c6535b87bb7a8ea4565fc796962b,0.0001,2023-06-30
eth,881bf6c276eade29395de3f8e991321d185de1b0,2.995709583,2023-07-01
eth,7f7e28d1d79eebd3c3e17539934e723a14bfe97a,0,2023-07-02
eth,676cc65c91753223630e74d387d4898359ded5f9,0.08,2023-07-03
eth,85e8ca7faa7dc418f00f403077406bf84c506f6d,0.005,2023-07-04
eth,e94e730740f9a0502d7af4112e5755f17d7a393a,0.009498507,2023-07-05
eth,888407aabafa936b90acf65c4db19370a01d9bd8,0,2023-07-06
eth,e91edadcaefbe188e6c7f14ada8d33ea147a0897,0.01282,2023-07-07
eth,1b89cd2ad1914b0213358b8996b74ecbaeac6bf8,0.03712,2023-07-08
eth,794f6252122069dcb8e5f25993d9176e9384ef86,0.05932291,2023-07-09
ltc,ltc1qu66u5s8fvjmgpxnelw5609s978eaw283usnslz,0.0177557,2023-07-10
ltc,ltc1pjl9mn9suxgxc5thwvqpu3aa73v3jyca2mp95wpkz93cqytkzey3qhj68f7,0.00010705,2023-07-11
ltc,ltc1qx4mnknqd6a3w4dwudsy2gw0stmu6mf4u5xx6cd,0.01882717,2023-07-12
ltc,ltc1ppaj0p6863zv0m6r5mfec4qksfuz8y9d9yh7h2ykgw8s7k5856yqs69m2dy,0.00046389,2023-07-13
ltc,ltc1qql2svu7p8vquucjteztk6888n9fmfu8dq66vxf,0.01915216,2023-07-14
matic_eth,3792acdee2ce71b02118679025ceefcd5167d16f,218.0223086,2023-07-15
matic_eth,01229d99d448ef367da5177f31085abe550bb48e,30,2023-07-16
usdc,847a8687bab0d2aee15dfda625cbc5fd30061992,2988.894686,2023-06-19
usdc,9c4237d10c17263726462e2b2739ae58ddf62a90,20,2023-06-19
xrp,rKxCzDVkYxLYnzoUobjwSwn9R1YK4kVhCh,2208.12787,2023-06-19
xrp,rMo495UkfAtWEg9jMBcEmn6VrZ4XvXQdRS,500,2023-06-19
